Cidade,País,População,Latitude,Longitude
Abiyán,Costa de Marfil,4400000,N 5° 18' 33'',W 4° 1' 11''
Atenas,Grécia,3775000,N 37° 58' 46'',E 23° 42' 58''
Región del Ruhr, Alemania,4675000,N 51° 26' 0'',E 6° 53' 0''
Berlín, Alemania,4325000,N 52° 31' 27'',E 13° 24' 37''
Buenos Aires, Argentina,14200000,S 34° 36' 47'',W 58° 22' 38''
Sydney, Australia,4475000,S 33° 52' 4'',E 151° 12' 26''
Melbourne, Australia,4000000,S 37° 48' 50'',E 144° 57' 47''
São Paulo, Brasil,21000000,S 23° 32' 51'',W 46° 38' 10''
Río de Janeiro, Brasil,12600000,S 22° 54' 10'',W 43° 12' 27''
Belo Horizonte, Brasil,5750000,S 19° 55' 15'',W 43° 56' 16''
Porto Alegre, Brasil,4125000,S 30° 1' 59'',W 51° 13' 48''
Salvador, Brasil,3950000,S 12° 58' 16'',W 38° 30' 39''
Recife, Brasil,3900000,S 8° 3' 14'',W 34° 52' 52''
Brasilia, Brasil,3850000,S 15° 46' 47'',W 47° 55' 47''
Fortaleza, Brasil,3725000,S 3° 43' 2'',W 38° 32' 35''
Santiago, Chile,6050000,S 33° 27' 25'',W 70° 38' 53''
Seúl, Coreia do Sul,25200000,N 37° 34' 5'',E 126° 58' 40''
Busán, Coreia do Sul,3675000,N 35° 6' 10'',E 129° 2' 25''
Madrid,Espanha,6550000,N 40° 24' 59'',W 3° 42' 9''
Barcelona,Espanha,5015000,N 41° 23' 19'',E 2° 9' 32''
Nueva York, Estados Unidos,22000000,N 40° 42' 51'',W 74° 0' 21''
Los Ángeles, Estados Unidos,18100000,N 34° 3' 8'',W 118° 14' 37''
Chicago, Estados Unidos,9750000,N 41° 51' 0'',W 87° 39' 0''
Washington D.C - Baltimore, Estados Unidos,8210000,N 38° 53' 42'',W 77° 2' 10''
San Francisco-Oakland -San José, Estados Unidos,7500000,N 37° 46' 29'',W 122° 25' 9''
Boston, Estados Unidos,7400000,N 42° 21' 30'',W 71° 3' 35''
Dallas, Estados Unidos,6650000,N 32° 46' 59'',W 96° 48' 24''
Filadelfia, Estados Unidos,6550000,N 39° 57' 8'',W 75° 9' 49''
Houston, Estados Unidos,6100000,N 29° 45' 47'',W 95° 21' 47''
Miami, Estados Unidos,5650000,N 25° 46' 27'',W 80° 11' 37''
Atlanta, Estados Unidos,5600000,N 33° 44' 56'',W 84° 23' 16''
Detroit, Estados Unidos,5500000,N 42° 19' 53'',W 83° 2' 44''
Phoenix, Estados Unidos,4400000,N 33° 26' 54'',W 112° 4' 26''
Seattle, Estados Unidos,4025000,N 47° 36' 22'',W 122° 19' 55''
París, França,10600000,N 48° 51' 12'',E 2° 20' 55''
Tokio,Japão,36400000,N 35° 36' 53'',E 139° 34' 52''
Osaka,Japão,16800000,N 34° 41' 37'',E 135° 30' 7''
Nagoya,Japão,8400000,N 35° 10' 53'',E 136° 54' 23''
Kuala Lumpur, Malasia,6400000,N 3° 8' 28'',E 101° 41' 11''
México D. F., México,25800000,N 23° 0' 0'',W 102° 0' 0''
Guadalajara, México,4625000,N 20° 40' 0'',W 103° 20' 0''
Monterrey, México,4150000,N 25° 40' 0'',W 100° 19' 0''
Lagos, Nigeria,12400000,N 6° 27' 11'',E 3° 23' 45''
Singapur, Singapur,6400000,N 1° 22' 0'',E 103° 48' 0''
Johanesburgo,África do Sul,7850000,S 26° 12' 8'',E 28° 2' 37''
Ciudad del Cabo,África do Sul,3775000,S 33° 55' 33'',E 18° 25' 23''
Montevideu,Uruguai,1338000,S 34° 53' 0'',W 56° 10' 0''
Sheffield,INGLATERRA,447047,N 53° 22' 0'',W 01° 28' 0''
Amsterdâ,HOLANDA,779808,N 51° 55' 0'',E 05° 34' 0''
Piemonte,ITALIA,4457000,N 45° 04' 0'',W 07° 42' 0''
Lisboa,PORTUGAL,474697,N 38° 42' 0'',W 09° 10' 0''
